GeneID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24
ENSMUSG00000038702	20	3	3	246	301	62	53	0	20	2	126	420	569	0	207	275	44	31	1	37	4	390	459	733
ENSMUSG00000086520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSMUSG00000070695	1	0	0	7	2	0	0	0	2	0	1	0	2	1	4	1	0	0	0	0	0	5	0	1
ENSMUSG00000065865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000026374	104	83	64	375	323	110	51	39	102	23	226	361	413	9	211	361	190	232	34	154	49	394	370	940
ENSMUSG00000026377	46	57	35	91	134	52	45	17	40	11	161	158	224	8	90	128	79	105	23	52	21	174	183	628
ENSMUSG00000064302	8	6	8	102	49	224	20	9	42	7	89	88	107	4	109	79	361	43	7	65	27	93	120	316
ENSMUSG00000073596	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080542	0	0	0	1	3	1	0	0	6	0	4	0	6	0	1	5	1	3	0	2	1	0	5	24
ENSMUSG00000079361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	1	2
ENSMUSG00000026380	10	9	15	18	1756	4	491	1	56	6	16	19	43	4	12	2160	4	1185	11	29	7	2	6	34
ENSMUSG00000089601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000048402	0	0	0	8	14	2	0	0	3	0	17	16	30	0	3	9	2	0	0	4	0	17	13	29
ENSMUSG00000037035	0	5	8	13	33	7	7	0	13	0	26	138	72	1	6	12	11	16	2	24	1	291	182	145
ENSMUSG00000004451	12	17	7	39	79	52	42	7	65	5	107	116	34	2	27	133	54	114	9	110	9	200	195	71
ENSMUSG00000037015	24	16	16	37	55	32	63	4	26	2	47	69	70	8	27	60	32	99	13	48	4	84	88	95
